Player Name,PUUID,match_weighted_average(%),match_result
T1 OK GOOD YES,TEw5q-0eYfgQaxTZ8i9GIe2RmrCpv964ds400eSuxRKizO7UqprIe0-kf3rTbocBwaaCJGUUjQQf0A,48.02033333333333,True
AatREuS,MVnSyfvRqzICkRUzC_uSYVzQMko7OuqB3TVSCJ873-v-tRV8t3oGzWSAp7zwSsXQ9WpoV0q8-bLuDg,59.8005,True
LoveRin,dw8zKXnzImUkHcLeZuCDbZZ0JjD3OKIIlWC_w35GaBpDXMcPTlB02g1nj42X5n8SrOjiprjcDVJ48Q,51.900333333333336,False
不心动,YCP0LNs1Vh5PtAGHtzrjAurz-lOdSsMJSouXNWtTr8mb-3j5tSqh3UELBqXMVUco5xyLxHEHF769QA,49.23233333333334,True
Miyamura Izumi,Nuzi6g38EHIr3Tf-0QB8iDVu1MKWg3Ww9_UW8vv9jE-K7mmwvH9NcuATQWEroIB3_rm93inyUJvKbA,49.319,True
Mizli,C7eVqVeAVC_aM2FuuDQoCX_UwE8jByhgY5xLA2ZOncw9OkJRRx3lMdKJwQyWxuZXsvjKK-mmEOO6XA,44.928999999999995,True
God of death,Wz-3utOOqjCMp9oxWD4ameXlroNjxgM_EYH4BTFlTK5qVmqVMRXZvh_S-WjqSbyNZ9bRZ6JoT5VQEA,44.37166666666666,True
Invent,9apdBOKeFVSkmn0Mowl46ONkdioxnZTrkM9o9CSWeqwJUcx9gduC1gINJo-NczChRtTrwii-HdlxMA,50.92059999999999,False
Equinox,nGqcXpru1riSnAoBJ_i5LvAdxq1z3UGcQvGITLJarf2iSfXix8qZKr4iUpAWwCIOdjBjEbPEQYF1NA,50.312,True
Psycho Wand,l7AMjAMmvpUb2Yg5ZVRjtM9aSXqjqw39t-T_poD1drJSY0cEwLsU7YLmbjvOW4xZw3YgjvOhkK7FZg,56.339999999999996,True
Viya,UofuaW_kuYZUc3iFV0nejhe5JrBe4-1Cz4FeG-SjEBecAhK93yzV02GCb5Kw3cPSpq2JD8g8EZ4seg,48.313,False
Sheiden4,ZwUWk7_NPV494i0dcN-07ZbylRscSsNHUhbT6oxeqOnj21cWM_miv4Wxxp9GIyZbT-rXihtKCrPFog,53.02833333333333,True
silver,18o806PREk4pfqz_P8vfmVdepmfomw8wry841-HfzXRYO25V0xxYAsCituAUQcXHX9XlKArE2YK3_A,50.015,True
Miracle,CIRX2vDmMODNtjKyodrOjJqA8R87DtEcdgxh7spm7D8gKYdlmaTuQZE2ggJA-jb3J0DOCHWnHKBydQ,47.357,True
Tenacity,iqp98j3hlLxvfcXQJgMZJyHKf2ZBsUq9QfXosfwkUdh5z9a9-DM7p8LM4jNDkVs4fayy2lX7ffFEGQ,56.114333333333335,True
dwade,eIbOt_97zjjzIVibOIjiU7gby_-q_A3HRODejUgbSQn1fenTLR4jbuCSm4Y_L-SSs_cJdY3vHiqPbg,49.236999999999995,False
all i want is u,s5YUItFL_WM10hH4BOWJAbO4A6XOXUD34a5LY1CFRu6hZdwdtqZEEwckhL7-wysjKdWo07tUN4Aurw,41.626999999999995,False
randomlydie,NaPDi6xtzC_T5vh5axADxYC0qR1kae74WDVXvWonaXi_CguvbVKCZcZzFKXMbwKW-UcNP3pJ_a5UNA,53.656,True
free isr4el,92oIEaheGz40aqiXpanlMD7JLy1005OAtr1cGnL-8Lkf8HdhC1EbkL2m2Jl-w6gETVRQjG_mcrYNuQ,49.694,True
Its Kami,KtONwM69EVOgvf7HdMChWzMuWprASA_toWcsBZL0J2wxP5Bhwz5jPGRpiFZebN4tL8otYcu79AQKFA,47.117666666666665,True
IlIIlIlIIIIIIIll,61ENU-fjyAayTlPvTmSrErtRJaR2niCMQMjelSORWmUnWprpf1AJi1a16F5-cAkpJCRmreZ4wVubJg,57.60979999999999,True
Boy Wonder,UYFCtn6J7qUI2DeifjF6F7Xy2i57TtiXSPzCikIeu7pq0D0C8ThePcFQVW6gYmrBU9VMGioMWIKR-g,55.404666666666664,True
Urek Mazino,kwbh5e6RQ8CkqPoR_ooJs5FO1lwsr4WnSrdC0foOj1l21Pbfb0dHm8eke-42i12MZ4SllBPlHSdmWA,40.275999999999996,False
merrjerry,kCkNodq58dMdAz2DyBjP3v4N3ujRuH2SYlOy21UcwtFK6iYrRGZZgnE8ZvnCtX3W4EU-kl9N6geYvA,56.0564,True
幻雪y,NuE4R07t1x9ITFAPgb26NDlEO80pZcUgywGvk8UjsZqoxWvREWKkCkN5yE7Hjk0nc9-Sv9rZdugg8A,55.754333333333335,False
rovex7,v8KOLaBmT23_qq6bOwHZZNubKrte045SRTihhhWV1UBOquRV2Q9a2Z4XcbhxoE8yZ7hjv0-u8kHxvQ,49.802,False
100 Sniper,Atk60pg1Md4XUQRbzGVWg_Tx301NqhwcJ3PxWgRd2wMxix-gXJeVq6YnvixJVTBFSOXUxoXxWPWL-w,39.075199999999995,True
Karasmai Kayn,dTUOVbH5JpV070eSlZzHrjTzvgPD68lnyJuXidYhuqFDNOQgrappZ18S_dJgwxKnZZ4v6Gc_lcRu5g,50.829,True
trance enjoyer,Jo6yaVWg3UfTEKBWWcyP_q2V-vdPWFFbvnajzNPBUAasCcmI09I3wqasxepaoS0Oq3yuitjrU13PIw,0.0,False
fas2,C_yCmWr35V9g5Y8Wtm6W28bnEBPHOm0TlZdjcCgjGsI28hZhr9EvIV12GL2W0S__Ul9tbK_ZIS6wwQ,0.0,False
EPSILON,wfKCTtgLQSlDGJ6NafD92X-3RRVflgTeDUDKrNRk4dQCFttzIbSBYGScMzJIN5bgokiI6gbmLPrhEA,45.29933333333333,False
ttvLancelotLink1,99khQoH6JpDZSH7saW6uFtqTSB2mHK5C5ZjAOnNg9vYYR8pgnJaK6JXrVZOgaMi7Iz3NKOYkWJBB9A,56.470333333333336,True
Spica,2kpaIgsZxFW_Wbnm1Lv6uKblvUDV6tfmRY3MupL2Mag0Zq6HfTzVvlyW8KXa7Kum3AQOkTnUF9bq5g,49.311499999999995,False
Corr,nMuxE3DzNQ72owvroWupi1NMP6uvd0sgIYvaOZcaRtW_kt0HJFVJx_zX3vFz8n0hQjbmqXciaIBm5Q,49.980000000000004,False
FREE PALESTINE,fTqs8mGltauZ0d4DONFzPGlOqXN6hqtjvoDbs41Mlgn6k4NWrQKVAjJoq2X2VagLSZ5TGQAQof3FAg,46.162499999999994,False
Bristle,EC1G8K5VNFDE67E7FlcBSDKxmia8kqeFrM8lxKYxyhd_wJ_Vqv_sbP1do-_1KHyekPOLcwSfX1uccg,51.117749999999994,True
Pobelter,JzMahgagFOytP9lVksKSOtFjG5pJz23Rf0fiA7cF0DBIyaeIMJYChm-9V-XoijQRJ7BL8X1W-gb0_w,52.099333333333334,False
Tigris,1syVeygaCQfj4ovJSEuhNT6zvvFgAK-oUwCtBZ4IhT1GIhCNUXJGSsCEnsbhkkOnBANkRVpp5M4bDQ,51.589,False
Madara,XGLSlg476foHCn5udQzhq0x6Ht2COF6eoGODo1OsRK0CuOmBISBS6XbN3c_LV9D_INTpQ4b6i4ooHw,46.73474999999999,False
Tactical0,oQh0lDDZu2ZkKP_OpFcSvWfQXLdR2DaerziSjOd3wHBnnwNJ30Der0jbs7-iDwDR9crMg1mLhT-ejw,52.019333333333336,True
L9 BiNLADÈN,xkEChDTEvFRkBTtfp1WHMYqIQFgMzTIbYuGSKxfYVAn4QfIvyabGj48j8aYAKE4GZRldrfnjdgUquQ,48.99975,True
garbocan,U50NqO-xunlzJWVGg2mTn7MByTkbYBMnf0fCvN3xdcKHcZsHhYwcnrjXmhWhG1c8rFT1pxtCOErIqA,46.967749999999995,True
Esungmin,8wtK7pchtWBGUYBYXWxB1jfgGtlYEScqoCAeLxb1HoGBYEYbW-vyJImDa3YQkC2iHHUGO0NYXjJtsg,46.775666666666666,False
Where is Osama,xhGdssGT6Ip2GzQKewhRLw4Si9TMu12sjVvNYwdsFsI7C-x30ZW525taIAOWP71GcLWDC2Zm6rCVpA,50.638749999999995,True
twtv lolhans,RGcNgfJA6UKEB2bPph9mfENBy2yIlI6YSPlKMM7ndRL1tkYkyxVw98Y3trfPG0yBjlrOKCKHyRVe4Q,51.861000000000004,False
Sheiden1,9qI7nOaKjxBXGOUt-2nG7VkdvCstHryMQYc91t2iHKbsR-KE3Njx2tQiSBpOo5fypY8-atMUSh4VvQ,54.67766666666667,True
ToastyAlex,IuisTClsilbPqZOMd3U2TdYJww0GAro5qgEmEyNB6i-cHFFua735snxAfG9FVAd6e9uY37PhWyS51A,48.544999999999995,False
Breezyyy,uCqbFEX9Ce6BVblLepz_GF3IbIfseQQemveH039O-bqxz5bAFGhZtf2MFnWReCZrNDr5SmME9CNNHg,53.443999999999996,False
F9 Cudge,UHH2DKtgWs_QeOkr5aQRqWNHKiQFPyrG-dN7gO0Q2biBLvqDpTLtv5lVSLBCv1VwHMZgR9KijU0_4w,51.32366666666667,True
ba1d4382-de25-4d50-ad67-7cd24b17dc97,qNcIOYr8CiSnhNDVF9E9pJX_jgBETZ1iYG3tECKBD0OGTf-Toz43uVZDNM-pELGQYvhsAwR2VKJsxQ,44.03066666666666,True
Dcatal,f13zAoLxbsL_Zvm8WiWOl-fO9TSw5jab3k6VkMOk1zCdluoNfsI8Zq4ar3WgbAEG5ri5ZGjWBCT1HQ,52.931,False
xXboomer305Xx,hNIbKorN39ZLOMPFtCJ33K0vFBtIigRDfmOrJbYwsxqhjnPYyL97cT9s_oNOL_UW2nSUKk66kLigYw,47.3255,False
Quantum,O-Eq35ni-jS7hNDnG9anjm8JoH_QeLDx2M2ViHaKvLbH7klKqRIndgsC99-TTrXMmvFM6-DT25w28g,57.946666666666665,True
blaberfish2,NuZ_Ljh1zwho4s0QMPvwUxXYZs2Rab8wXQOGhTttp9zNhtwAYGH49aYMPjAmyIsQp1qDYTQciXQ9Kw,49.43675,False
소년가장 원딜,F7gtqBAdNuS5dGZgc3g06dPC03R379Bn3cZelgbBKzoL6h0hGjdzT_8zRs7l3h3iMaDIeU8LkzbW6w,52.18275,False
Lobunny,hCLHNi4U6TzIjZmts6O8HWqzap5OkI4PKgVriU3yy17l6dBTacX6nCCICU5MKff516-cbVR04zGCEA,52.27133333333333,False
its my way,jhg06YVIoMg1uw5bLYp1YJogWM5M7JzVV8DDdjlvlsVFtunN7QrW9m10PKF7613JBsX9LrZKhlHK0Q,49.04925,False
LeDouch,0C3iQh2fJ6mw9cZK3m2l4ID8uB1Te2CfmdHEbvcYHhBHZBCpju7Wj3rm60GHs0ckYE-wdZH5jFFzHg,51.3975,True
JackySan,NMFKHqvYgru4OvSjbI4_PzSSWmPAldmuztdT4GzORZ8Lv7335mMmVQ-dGM8TaAiPU_TSlZufyvRtOQ,51.73833333333334,False
Martir,DW4-WnK_evG421pDYOcjLOUBqJLY4hWaGaSstZXdo65NVpO0fHZkJNshuPI-36yuO5r8r0NFG4lQJQ,50.238,True
Swordsoul,UwElrzD9hzMxqlb2QXlTpqeNGXZvnN5KYr2pSFq02B_YQ44r2lo9ezFw8FjUjJsbyrtHD1sGaozCew,41.284499999999994,False
Sword,k58iZh2GCydqqwo5nW5_HayW7unkW5KuBkNNIz50ck15cGugopm2rs4Vzrh55nG-2Vv0JtO2rE7-3Q,50.903999999999996,True
Somnus,QQ50oh7sAFvmkuX5Knpl4c5Q4ea5YHOkTFJOz08SEKUQSQOj3nsOTSyBPcy9SVpp-jIT4g8oYZg63A,53.931,False
Legacy,4YxmUzQPnILhNoNwPUFtU65AcGFWJbPOvAIYjjgblIOAaxom3A1hpSoH8mPlnTCc628bkuh3HMtTPA,43.516,False
Support Fulldmg,cdyedofCWkIGvLLvEQFJrkSbxOkJZqi-Kvl5jz8mQcdczhZFRcoTEwHlzBOYR3sxhSNT1WvQUjzI7g,43.351,True
Reppy,uSSnft3s-_adxtrrPzM-6D3CGtea4BPfTR3daIKjtZApiLfDLMyVWrtYeDHa4SZIP1zvU8WUyLSh2A,47.20666666666666,False
Bit By Kafuu,gxSggRFJtDPodrnRX1PDN4z-HwUr7Ua_wew7hASIa6BzNYCqZmgPe50NvbkXqna_5S1_OW9szrJ-tQ,49.04674999999999,False
eat õreo,R_TLH6eOiFN7k-YSVoGeDaCko6HuraPvCDhncCvm6Jz01AahDaorG_Gf7YpzfWcOmvHIt21jGDui9A,43.289500000000004,True
Add me if lost,DdJjAQ60rqlMbIQLcVj3T14qQUvdX8oss9B8b4XcNbIh1cNDmSNEbqIt-f64yw2keG8IoI84mXsbsw,62.331999999999994,False
Toastea,dcJDkEW9mqwVVIitAOXgn2UWmNdecMfzT8elENd7PZvQ6-0FG5W10O_JZ6rndaHbkof9zXTHDuYhEw,48.4945,True
